peserta_id,gelombang_nama,pekerjaan_ayah,skor_pekerjaan_ayah,penghasilan_ayah,skor_penghasilan_ayah,pendidikan_ayah,status_hidup_ayah,pekerjaan_ibu,skor_pekerjaan_ibu,penghasilan_ibu,skor_penghasilan_ibu,pendidikan_ibu,status_hidup_ibu,jumlah_tanggungan_ortu,jenis_ukt,nilai_ukt
2748,SNBP,Mandiri Profesi Swasta,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SD/Sederajad,Hidup,Mandiri Profesi Swasta,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,S1/Sarjana,Hidup,2,5,3250000
1651,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,1,4,2750000
1633,SNBP,Mandiri Profesi Swasta,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMP/Sederajad,Hidup,Mandiri Profesi Swasta,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,3,5,3250000
2244,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMP/Sederajad,Hidup,1,5,3250000
1832,SNBP,Wiraswasta Pedagang Pasar/ Kaki Lima,10,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMP/Sederajad,Hidup,Mandiri Profesi Swasta,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,5,1,500000
2646,SNBP,Wiraswasta Pedagang Pasar/ Kaki Lima,10,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,Meninggal tidak mempunyai pensiunan,20,0,2,SMA/Sederajad,Meninggal,3,4,2750000
2035,SNBP,Meninggal tidak mempunyai pensiunan,20,0,2,SMA/Sederajad,Meninggal,Meninggal tidak mempunyai pensiunan,20,0,2,SMP/Sederajad,Meninggal,3,1,500000
1903,SNBP,Tidak Bekerja krn Sudah Tua/Sakit,18,0,2,SMA/Sederajad,Hidup,Meninggal tidak mempunyai pensiunan,20,0,2,SMA/Sederajad,Meninggal,2,1,500000
2316,SNBP,Staff Karyawan Swasta,8,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,D3/Sederajat,Hidup,Staff Karyawan Swasta,8,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,3,3,2000000
1780,SNBP,PNS Koordinator/Staf,6,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,S1/Sarjana,Hidup,Meninggal tidak mempunyai pensiunan,20,0,2,SMA/Sederajad,Meninggal,1,4,2750000
2042,SNBP,Buruh Tani/Nelayan/Tukang,14,"< Rp. 500.000,-",2,SMA/Sederajad,Hidup,Buruh Tani/Nelayan/Tukang,14,0,2,SD/Sederajad,Hidup,3,5,3250000
3012,SNBP,Mandiri Profesi Swasta,1,"< Rp. 500.000,-",2,SMA/Sederajad,Hidup,Mandiri Profesi Swasta,1,0,2,SD/Sederajad,Hidup,3,5,3250000
1650,SNBP,Buruh Tani/Nelayan/Tukang,14,0,2,Lainya,Hidup,Pensiun Hidup,8,0,2,Lainya,Hidup,7,5,3250000
1671,SNBP,Petani Lahan Sewa,12,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Hidup,Petani Lahan Sewa,12,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,1,5,3250000
2067,SNBP,Staff Karyawan Swasta,8,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SMP/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMP/Sederajad,Hidup,2,4,2750000
2015,SNBP,PNS Kepala Bagian/Biro,5,"Rp. 5.000.000,- sd Rp. 7.000.000,-",7,S2/Megister,Hidup,PNS Kepala Bagian/Biro,5,"Rp. 5.000.000,- sd Rp. 7.000.000,-",7,S1/Sarjana,Hidup,2,5,3250000
2129,SNBP,PNS Koordinator/Staf,6,"Rp. 4.000.000,- sd Rp. 5.000.000,-",8,S1/Sarjana,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,3,6,3750000
1941,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 3.000.000,- sd Rp. 4.000.000,-",9,SMP/Sederajad,Hidup,Pengelola Toko,1,"< Rp. 500.000,-",2,SMP/Sederajad,Hidup,2,5,3250000
2774,SNBP,Meninggal tidak mempunyai pensiunan,20,0,2,Lainya,Meninggal,Meninggal tidak mempunyai pensiunan,20,0,2,Lainya,Meninggal,0,1,500000
2777,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,2,2,1000000
2940,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMP/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMP/Sederajad,Hidup,3,7,4000000
2095,SNBP,Meninggal tidak mempunyai pensiunan,20,0,2,SMA/Sederajad,Meninggal,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,2,7,4000000
2803,SNBP,Wiraswasta Pedagang Pasar/ Kaki Lima,10,"Rp. 3.000.000,- sd Rp. 4.000.000,-",9,SMP/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,4,5,3250000
2899,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 500.000,- sd Rp. 1.000.000,-",1,Lainya,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,Lainya,Hidup,2,5,3250000
3005,SNBP,Petani Lahan Sewa,12,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,1,7,4000000
2209,SNBP,Buruh Tani/Nelayan/Tukang,14,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,Buruh Tani/Nelayan/Tukang,14,0,2,SD/Sederajad,Hidup,3,5,3250000
2811,SNBP,Staff Karyawan Swasta,8,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,Staff Karyawan Swasta,8,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,1,7,4000000
1775,SNBP,Pensiun Hidup,8,0,2,SD/Sederajad,Hidup,Tidak Bekerja krn Sudah Tua/Sakit,18,0,2,SD/Sederajad,Hidup,3,7,4000000
1804,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMP/Sederajad,Hidup,3,5,3250000
3007,SNBP,Mandiri Profesi Swasta,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,D2/Sederajat,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,Lainya,Hidup,1,5,3250000
2977,SNBP,PNS Koordinator/Staf,6,"Rp. 3.000.000,- sd Rp. 4.000.000,-",9,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMP/Sederajad,Hidup,3,5,3250000
2018,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,5,7,4000000
2145,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,Lainya,Hidup,2,5,3250000
2105,SNBP,Meninggal tidak mempunyai pensiunan,20,0,2,SD/Sederajad,Meninggal,Buruh Tani/Nelayan/Tukang,14,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Meninggal,1,5,3250000
2319,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,"< Rp. 500.000,-",2,SMA/Sederajad,Hidup,3,7,4000000
2278,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Hidup,Buruh Tani/Nelayan/Tukang,14,0,2,SMP/Sederajad,Hidup,5,7,4000000
2458,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,2,7,4000000
1767,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,2,7,4000000
1639,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,1,7,4000000
2728,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,PNS Koordinator/Staf,6,"Rp. 3.000.000,- sd Rp. 4.000.000,-",9,S1/Sarjana,Hidup,2,7,4000000
2717,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Hidup,Staff Karyawan Swasta,8,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,3,5,3250000
2627,SNBP,Petani dan Nelayan Pemilik Lahan,1,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"< Rp. 500.000,-",2,SMP/Sederajad,Hidup,3,5,3250000
2372,SNBP,Mandiri Profesi Swasta,1,"> Rp. 10.000.000,-",5,SD/Sederajad,Hidup,Mandiri Profesi Swasta,1,"Rp. 5.000.000,- sd Rp. 7.000.000,-",7,SD/Sederajad,Hidup,2,5,3250000
2833,SNBP,Staff Karyawan Swasta,8,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,Staff Karyawan Swasta,8,"< Rp. 500.000,-",2,S1/Sarjana,Hidup,2,7,4000000
2635,SNBP,PNS Koordinator/Staf,6,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,S1/Sarjana,Hidup,Staff Karyawan Swasta,8,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,S1/Sarjana,Hidup,3,5,3250000
1955,SNBP,Meninggal tidak mempunyai pensiunan,20,0,2,SMA/Sederajad,Meninggal,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,"< Rp. 500.000,-",2,SMA/Sederajad,Hidup,2,5,3250000
1688,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMP/Sederajad,Hidup,5,5,3250000
2642,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,2,7,4000000
2201,SNBP,Petani Lahan Sewa,12,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,4,7,4000000
2070,SNBP,Staff Karyawan Swasta,8,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,3,7,4000000
2203,SNBP,Petani Lahan Sewa,12,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,Tidak Bekerja krn Sudah Tua/Sakit,18,0,2,SD/Sederajad,Hidup,1,7,4000000
1807,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMP/Sederajad,Hidup,2,4,2750000
2335,SNBP,Mandiri Profesi Swasta,1,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SD/Sederajad,Hidup,Mandiri Profesi Swasta,1,"< Rp. 500.000,-",2,SMP/Sederajad,Hidup,2,5,3250000
1852,SNBP,Mandiri Profesi Swasta,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,Penjual Onlline,1,"< Rp. 500.000,-",2,SMP/Sederajad,Hidup,2,5,3250000
2156,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,1,5,3250000
2842,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMP/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,2,4,2750000
2583,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SD/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SD/Sederajad,Hidup,3,3,2000000
2768,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,2,4,2750000
2805,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SMA/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,3,4,2750000
2918,SNBP,Pensiun Hidup,8,"Rp. 500.000,- sd Rp. 1.000.000,-",1,S1/Sarjana,Hidup,Pengelola Toko,1,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,1,4,2750000
2996,SNBP,Petani Lahan Sewa,12,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMP/Sederajad,Hidup,Petani Lahan Sewa,12,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMP/Sederajad,Hidup,2,5,3250000
2296,SNBP,Tidak Bekerja krn Sudah Tua/Sakit,18,0,2,SMA/Sederajad,Lainnya,Wiraswasta Pedagang Pasar/ Kaki Lima,10,"< Rp. 500.000,-",2,SMA/Sederajad,Hidup,2,4,2750000
2248,SNBP,Mandiri Profesi Swasta,1,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,3,5,3250000
2149,SNBP,Wiraswasta Warung Rumahan,12,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"< Rp. 500.000,-",2,SMP/Sederajad,Hidup,2,4,2750000
2308,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMP/Sederajad,Hidup,Buruh Tani/Nelayan/Tukang,14,"< Rp. 500.000,-",2,SMP/Sederajad,Hidup,3,4,2750000
2945,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMP/Sederajad,Hidup,Penjual Onlline,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMP/Sederajad,Hidup,2,4,2750000
1702,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,Mandiri Profesi Swasta,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,2,5,3250000
2374,SNBP,Mandiri Profesi Swasta,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,PNS Koordinator/Staf,6,"Rp. 5.000.000,- sd Rp. 7.000.000,-",7,S1/Sarjana,Hidup,4,7,4000000
1647,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,Lainya,Hidup,Buruh Tani/Nelayan/Tukang,14,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,Lainya,Hidup,2,4,2750000
2946,SNBP,Staff Karyawan Swasta,8,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,D3/Sederajat,Hidup,Staff Karyawan Swasta,8,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,S1/Sarjana,Hidup,4,6,3750000
2110,SNBP,Pensiun Hidup,8,0,2,S2/Megister,Meninggal,PNS Koordinator/Staf,6,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,D3/Sederajat,Hidup,3,7,4000000
2606,SNBP,Petani dan Nelayan Pemilik Lahan,1,"< Rp. 500.000,-",2,SMA/Sederajad,Hidup,PNS Koordinator/Staf,6,"Rp. 4.000.000,- sd Rp. 5.000.000,-",8,S1/Sarjana,Hidup,3,6,3750000
2124,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 5.000.000,- sd Rp. 7.000.000,-",7,SMP/Sederajad,Hidup,Petani dan Nelayan Pemilik Lahan,1,"Rp. 3.000.000,- sd Rp. 4.000.000,-",9,SD/Sederajad,Hidup,2,5,3250000
2481,SNBP,Buruh Tani/Nelayan/Tukang,14,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,Petani Lahan Sewa,12,"< Rp. 500.000,-",2,SMA/Sederajad,Hidup,3,5,3250000
1877,SNBP,TNI/POLRI Bintara Tinggi,5,"Rp. 3.000.000,- sd Rp. 4.000.000,-",9,SMA/Sederajad,Hidup,PNS Koordinator/Staf,6,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,S1/Sarjana,Hidup,0,7,4000000
1872,SNBP,Penjual Onlline,1,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,1,4,2750000
2618,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMP/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMP/Sederajad,Hidup,3,4,2750000
2827,SNBP,Mandiri Profesi Swasta,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,2,4,2750000
2657,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,2,4,2750000
1676,SNBP,Mandiri Profesi Swasta,1,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMP/Sederajad,Hidup,2,5,3250000
2290,SNBP,Pengelola Toko,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,2,5,3250000
1764,SNBP,Mandiri Profesi Swasta,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMP/Sederajad,Hidup,2,4,2750000
1873,SNBP,Mandiri Profesi Swasta,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMP/Sederajad,Hidup,2,4,2750000
2265,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,2,4,2750000
2104,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SMP/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,"< Rp. 500.000,-",2,SMA/Sederajad,Hidup,2,4,2750000
2094,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,2,4,2750000
2029,SNBP,Petani dan Nelayan Pemilik Lahan,1,"< Rp. 500.000,-",2,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,1,4,2750000
2321,SNBP,Mandiri Profesi Swasta,1,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,3,5,3250000
1621,SNBP,Mandiri Profesi Swasta,1,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,2,4,2750000
2983,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SMP/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SD/Sederajad,Hidup,2,4,2750000
2802,SNBP,PNS Koordinator/Staf,6,"Rp. 5.000.000,- sd Rp. 7.000.000,-",7,S2/Megister,Hidup,Staff Karyawan Swasta,8,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,S1/Sarjana,Hidup,2,7,4000000
2612,SNBP,BUMN/BUMD Kepala Bagian,4,"Rp. 4.000.000,- sd Rp. 5.000.000,-",8,S1/Sarjana,Hidup,Staff Karyawan Swasta,8,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SMA/Sederajad,Hidup,2,5,3250000
1824,SNBP,Mandiri Profesi Swasta,1,"Rp. 2.000.000,- sd Rp. 3.000.000,-",1,SMP/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,3,4,2750000
2048,SNBP,Mandiri Profesi Swasta,1,"Rp. 500.000,- sd Rp. 1.000.000,-",1,SMA/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMA/Sederajad,Hidup,3,4,2750000
1921,SNBP,Petani dan Nelayan Pemilik Lahan,1,"Rp. 1.000.000,- sd Rp. 2.000.000,-",1,SD/Sederajad,Hidup,Tidak Bekerja (PHK/Keluar dari Pekerjaan/RumahTangga),16,0,2,SMP/Sederajad,Hidup,3,4,2750000
2440,SNBP,Mandiri Profesi Swasta,1,"Rp. 4.000.000,- sd Rp. 5.000.000,-",8,SD/Sederajad,Hidup,Wiraswasta Pedagang Pasar/ Kaki Lima,10,"< Rp. 500.000,-",2,SMP/Sederajad,Hidup,2,4,2750000
